DFlCvsctag;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.14239) : (1.15611)) : (x<50 ? 1.1746:1.18677)) : (x<100 ? (x<80 ? (x<70 ? 1.19867:1.21475) : (1.2247)) : (x<120 ? 1.23971:1.25091))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.28002:1.36661) : (1.50622)) : (x<400 ? 1.71838:1.88401)) : (x<800 ? (x<670 ? 2.10657:2.20419) : (x<1000 ? 2.79448:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01189) : (1.01124)) : (x<50 ? 1.00982:1.00984)) : (x<100 ? (x<80 ? (x<70 ? 1.00968:1.00971) : (1.00891)) : (x<120 ? 1.01113:1.01135))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.0162:1.02405) : (1.03605)) : (x<400 ? 1.05841:1.06029)) : (x<800 ? (x<670 ? 1.0779:1.1151) : (x<1000 ? 1.12267:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.997808) : (1.00246)) : (x<50 ? 1.00312:1.00303)) : (x<100 ? (x<80 ? (x<70 ? 1.00304:1.00383) : (1.00528)) : (x<120 ? 1.00418:0.999812))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.993322:0.990942) : (0.990897)) : (x<400 ? 0.990231:0.987344)) : (x<800 ? (x<670 ? 0.986077:0.973624) : (x<1000 ? 0.958869:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.14009) : (1.15383)) : (x<50 ? 1.17223:1.18424)) : (x<100 ? (x<80 ? (x<70 ? 1.19591:1.21168) : (1.22215)) : (x<120 ? 1.23645:1.24759))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.27488:1.35733) : (1.49123)) : (x<400 ? 1.69467:1.84699)) : (x<800 ? (x<670 ? 2.05346:2.10132) : (x<1000 ? 2.62114:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.00987) : (1.00911)) : (x<50 ? 1.00755:1.00737)) : (x<100 ? (x<80 ? (x<70 ? 1.00697:1.00669) : (1.0064)) : (x<120 ? 1.00796:1.00822))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.01161:1.0165) : (1.02516)) : (x<400 ? 1.04397:1.04223)) : (x<800 ? (x<670 ? 1.05236:1.05617) : (x<1000 ? 1.03893:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.996736) : (1.00131)) : (x<50 ? 1.00187:1.00166)) : (x<100 ? (x<80 ? (x<70 ? 1.0015:1.0021) : (1.00382)) : (x<120 ? 1.00231:0.997951))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.990647:0.986672) : (0.98498)) : (x<400 ? 0.982452:0.97693)) : (x<800 ? (x<670 ? 0.972216:0.94435) : (x<1000 ? 0.918029:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.14468) : (1.1584)) : (x<50 ? 1.17698:1.1893)) : (x<100 ? (x<80 ? (x<70 ? 1.20142:1.21782) : (1.22725)) : (x<120 ? 1.24297:1.25424))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.28516:1.37588) : (1.52121)) : (x<400 ? 1.74209:1.92103)) : (x<800 ? (x<670 ? 2.15968:2.30706) : (x<1000 ? 2.96783:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.0139) : (1.01337)) : (x<50 ? 1.0121:1.01231)) : (x<100 ? (x<80 ? (x<70 ? 1.0124:1.01273) : (1.01143)) : (x<120 ? 1.01431:1.01449))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.02079:1.03159) : (1.04693)) : (x<400 ? 1.07286:1.07834)) : (x<800 ? (x<670 ? 1.10344:1.17403) : (x<1000 ? 1.20642:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.99888) : (1.0036)) : (x<50 ? 1.00436:1.0044)) : (x<100 ? (x<80 ? (x<70 ? 1.00457:1.00555) : (1.00674)) : (x<120 ? 1.00605:1.00167))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.995997:0.995212) : (0.996814)) : (x<400 ? 0.99801:0.997759)) : (x<800 ? (x<670 ? 0.999938:1.0029) : (x<1000 ? 0.999709:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.10521) : (1.12308)) : (x<50 ? 1.14108:1.15523)) : (x<100 ? (x<80 ? (x<70 ? 1.16896:1.18737) : (1.19852)) : (x<120 ? 1.21521:1.22789))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.25366:1.32684) : (1.47032)) : (x<400 ? 1.63917:1.80605)) : (x<800 ? (x<670 ? 1.98228:2.12461) : (x<1000 ? 2.5281:0)))" 
1, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.965015) : (0.964307)) : (x<50 ? 0.96389:0.967487)) : (x<100 ? (x<80 ? (x<70 ? 0.96819:0.975016) : (0.974958)) : (x<120 ? 0.981509:0.984463))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.996329:1.00446) : (1.02061)) : (x<400 ? 1.05065:1.07038)) : (x<800 ? (x<670 ? 1.07641:1.12605) : (x<1000 ? 1.07825:0)))" 
1, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01776) : (1.02442)) : (x<50 ? 1.03185:1.04309)) : (x<100 ? (x<80 ? (x<70 ? 1.05759:1.0729) : (1.08935)) : (x<120 ? 1.10823:1.14483))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.19839:1.23639) : (1.28225)) : (x<400 ? 1.31938:1.3476)) : (x<800 ? (x<670 ? 1.40568:1.40688) : (x<1000 ? 1.33274:0)))" 
1, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.10308) : (1.12094)) : (x<50 ? 1.13885:1.15284)) : (x<100 ? (x<80 ? (x<70 ? 1.16636:1.18447) : (1.1961)) : (x<120 ? 1.21212:1.22474))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.24883:1.31829) : (1.4565)) : (x<400 ? 1.61821:1.77355)) : (x<800 ? (x<670 ? 1.93726:2.03649) : (x<1000 ? 2.39183:0)))" 
1, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.962931) : (0.962105)) : (x<50 ? 0.961538:0.964926)) : (x<100 ? (x<80 ? (x<70 ? 0.965383:0.971872) : (0.972343)) : (x<120 ? 0.978191:0.981177))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.991485:0.996509) : (1.00911)) : (x<400 ? 1.03536:1.05109)) : (x<800 ? (x<670 ? 1.04948:1.06299) : (x<1000 ? 0.994228:0)))" 
1, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01628) : (1.02277)) : (x<50 ? 1.02999:1.04098)) : (x<100 ? (x<80 ? (x<70 ? 1.05518:1.07014) : (1.08697)) : (x<120 ? 1.10511:1.14161))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.19359:1.22872) : (1.27155)) : (x<400 ? 1.30539:1.329)) : (x<800 ? (x<670 ? 1.38043:1.35473) : (x<1000 ? 1.26559:0)))" 
1, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.10734) : (1.12522)) : (x<50 ? 1.14331:1.15761)) : (x<100 ? (x<80 ? (x<70 ? 1.17156:1.19027) : (1.20094)) : (x<120 ? 1.2183:1.23103))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.25849:1.3354) : (1.48414)) : (x<400 ? 1.66013:1.83856)) : (x<800 ? (x<670 ? 2.02729:2.21273) : (x<1000 ? 2.66438:0)))" 
1, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.967098) : (0.966509)) : (x<50 ? 0.966242:0.970047)) : (x<100 ? (x<80 ? (x<70 ? 0.970998:0.978159) : (0.977573)) : (x<120 ? 0.984828:0.987749))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.00117:1.0124) : (1.03211)) : (x<400 ? 1.06593:1.08967)) : (x<800 ? (x<670 ? 1.10334:1.18912) : (x<1000 ? 1.16227:0)))" 
1, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01924) : (1.02608)) : (x<50 ? 1.03372:1.0452)) : (x<100 ? (x<80 ? (x<70 ? 1.06001:1.07566) : (1.09174)) : (x<120 ? 1.11136:1.14805))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.20319:1.24406) : (1.29295)) : (x<400 ? 1.33337:1.36619)) : (x<800 ? (x<670 ? 1.43092:1.45903) : (x<1000 ? 1.3999:0)))" 
2, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.915024) : (0.958909)) : (x<50 ? 0.986509:1.00615)) : (x<100 ? (x<80 ? (x<70 ? 1.0174:1.03165) : (1.04806)) : (x<120 ? 1.06217:1.07303))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.10896:1.17625) : (1.30664)) : (x<400 ? 1.46362:1.66856)) : (x<800 ? (x<670 ? 1.80216:1.84821) : (x<1000 ? 1.74803:0)))" 
2, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.766268) : (0.793959)) : (x<50 ? 0.80938:0.819953)) : (x<100 ? (x<80 ? (x<70 ? 0.823174:0.827206) : (0.827076)) : (x<120 ? 0.831112:0.831655))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.834473:0.815586) : (0.796394)) : (x<400 ? 0.752815:0.710926)) : (x<800 ? (x<670 ? 0.679666:0.583606) : (x<1000 ? 0.584427:0)))" 
2, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.765829) : (0.80406)) : (x<50 ? 0.835948:0.864873)) : (x<100 ? (x<80 ? (x<70 ? 0.893241:0.909418) : (0.921743)) : (x<120 ? 0.941218:1.02354))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.0938:1.25495) : (1.36682)) : (x<400 ? 1.43244:1.75089)) : (x<800 ? (x<670 ? 1.50496:1.41285) : (x<1000 ? 1.38227:0)))" 
2, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.913333) : (0.957229)) : (x<50 ? 0.984769:1.0043)) : (x<100 ? (x<80 ? (x<70 ? 1.0154:1.02943) : (1.04621)) : (x<120 ? 1.05981:1.07063))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.10522:1.16956) : (1.29567)) : (x<400 ? 1.44653:1.64022)) : (x<800 ? (x<670 ? 1.7625:1.77063) : (x<1000 ? 1.65448:0)))" 
2, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.764004) : (0.791647)) : (x<50 ? 0.806942:0.817321)) : (x<100 ? (x<80 ? (x<70 ? 0.820306:0.824025) : (0.824442)) : (x<120 ? 0.827784:0.828368))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.82963:0.807769) : (0.785278)) : (x<400 ? 0.73875:0.694166)) : (x<800 ? (x<670 ? 0.656632:0.536546) : (x<1000 ? 0.516912:0)))" 
2, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.761715) : (0.799554)) : (x<50 ? 0.830819:0.858908)) : (x<100 ? (x<80 ? (x<70 ? 0.886227:0.901262) : (0.914602)) : (x<120 ? 0.931625:1.01263))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.07615:1.22058) : (1.31284)) : (x<400 ? 1.3564:1.6088)) : (x<800 ? (x<670 ? 1.34823:1.08241) : (x<1000 ? 0.942652:0)))" 
2, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.916715) : (0.960589)) : (x<50 ? 0.98825:1.008)) : (x<100 ? (x<80 ? (x<70 ? 1.01941:1.03387) : (1.04992)) : (x<120 ? 1.06454:1.07542))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.11269:1.18293) : (1.31761)) : (x<400 ? 1.48072:1.69689)) : (x<800 ? (x<670 ? 1.84182:1.92578) : (x<1000 ? 1.84158:0)))" 
2, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.768531) : (0.796271)) : (x<50 ? 0.811818:0.822586)) : (x<100 ? (x<80 ? (x<70 ? 0.826042:0.830388) : (0.829711)) : (x<120 ? 0.83444:0.834942))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.839315:0.823403) : (0.807511)) : (x<400 ? 0.76688:0.727687)) : (x<800 ? (x<670 ? 0.7027:0.630666) : (x<1000 ? 0.651941:0)))" 
2, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.769944) : (0.808565)) : (x<50 ? 0.841078:0.870837)) : (x<100 ? (x<80 ? (x<70 ? 0.900255:0.917574) : (0.928883)) : (x<120 ? 0.950811:1.03445))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.11144:1.28932) : (1.42081)) : (x<400 ? 1.50848:1.89298)) : (x<800 ? (x<670 ? 1.66169:1.74329) : (x<1000 ? 1.82189:0)))" 
