ctag;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.05791) : (1.07004)) : (x<50 ? 1.08471:1.09799)) : (x<100 ? (x<80 ? (x<70 ? 1.10736:1.12047) : (1.12907)) : (x<120 ? 1.1482:1.15702))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.16979:1.22667) : (1.32696)) : (x<400 ? 1.42077:1.51975)) : (x<800 ? (x<670 ? 1.5974:1.63272) : (x<1000 ? 1.59941:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.994594) : (0.998168)) : (x<50 ? 0.998374:1.00047)) : (x<100 ? (x<80 ? (x<70 ? 1.00289:1.00445) : (1.00406)) : (x<120 ? 1.00614:1.00705))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.01175:1.01791) : (1.02869)) : (x<400 ? 1.02907:1.03598)) : (x<800 ? (x<670 ? 1.03354:1.04956) : (x<1000 ? 1.05313:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.979439) : (0.985587)) : (x<50 ? 0.989353:0.992069)) : (x<100 ? (x<80 ? (x<70 ? 0.992665:0.992779) : (0.994007)) : (x<120 ? 0.994127:0.992461))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.994646:0.995348) : (1.00176)) : (x<400 ? 1.00131:1.00511)) : (x<800 ? (x<670 ? 1.00296:0.995664) : (x<1000 ? 0.985992:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.05554) : (1.0676)) : (x<50 ? 1.08208:1.09571)) : (x<100 ? (x<80 ? (x<70 ? 1.10461:1.11753) : (1.12633)) : (x<120 ? 1.14517:1.15444))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.16476:1.21549) : (1.31737)) : (x<400 ? 1.40697:1.46484)) : (x<800 ? (x<670 ? 1.57095:1.58359) : (x<1000 ? 1.53962:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.99227) : (0.995972)) : (x<50 ? 0.995697:0.996957)) : (x<100 ? (x<80 ? (x<70 ? 1.00009:0.999849) : (1.00066)) : (x<120 ? 1.00219:1.00288))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.00602:1.01044) : (1.01799)) : (x<400 ? 1.01517:1.01921)) : (x<800 ? (x<670 ? 1.00983:0.997969) : (x<1000 ? 0.979545:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.978152) : (0.984185)) : (x<50 ? 0.987865:0.990483)) : (x<100 ? (x<80 ? (x<70 ? 0.990451:0.990691) : (0.992352)) : (x<120 ? 0.992003:0.990301))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.991498:0.989951) : (0.993204)) : (x<400 ? 0.993327:0.994405)) : (x<800 ? (x<670 ? 0.988635:0.966151) : (x<1000 ? 0.944458:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.06028) : (1.07248)) : (x<50 ? 1.08734:1.10027)) : (x<100 ? (x<80 ? (x<70 ? 1.11011:1.12342) : (1.13182)) : (x<120 ? 1.15123:1.1596))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.17482:1.23784) : (1.33655)) : (x<400 ? 1.43458:1.57466)) : (x<800 ? (x<670 ? 1.62384:1.68185) : (x<1000 ? 1.6592:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.996919) : (1.00036)) : (x<50 ? 1.00105:1.00399)) : (x<100 ? (x<80 ? (x<70 ? 1.00568:1.00905) : (1.00747)) : (x<120 ? 1.0101:1.01123))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.01747:1.02537) : (1.03939)) : (x<400 ? 1.04296:1.05275)) : (x<800 ? (x<670 ? 1.05725:1.10115) : (x<1000 ? 1.12671:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.980726) : (0.986989)) : (x<50 ? 0.990842:0.993655)) : (x<100 ? (x<80 ? (x<70 ? 0.994879:0.994866) : (0.995662)) : (x<120 ? 0.996251:0.994622))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.997794:1.00074) : (1.01031)) : (x<400 ? 1.0093:1.01581)) : (x<800 ? (x<670 ? 1.01728:1.02518) : (x<1000 ? 1.02753:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03779) : (1.05508)) : (x<50 ? 1.07754:1.08834)) : (x<100 ? (x<80 ? (x<70 ? 1.10094:1.11323) : (1.11702)) : (x<120 ? 1.13835:1.14942))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.17:1.2395) : (1.40252)) : (x<400 ? 1.52592:1.77364)) : (x<800 ? (x<670 ? 1.79767:1.82636) : (x<1000 ? 1.87999:0)))" 
1, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.974178) : (0.983661)) : (x<50 ? 0.984063:0.988044)) : (x<100 ? (x<80 ? (x<70 ? 0.991201:0.992938) : (0.990751)) : (x<120 ? 0.996366:0.997587))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.999596:1.00005) : (1.00797)) : (x<400 ? 1.01344:1.05398)) : (x<800 ? (x<670 ? 1.06427:1.08502) : (x<1000 ? 1.00436:0)))" 
1, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.06724) : (1.09539)) : (x<50 ? 1.10672:1.11929)) : (x<100 ? (x<80 ? (x<70 ? 1.12585:1.13921) : (1.14613)) : (x<120 ? 1.17083:1.20103))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.24587:1.2701) : (1.26415)) : (x<400 ? 1.2381:1.18764)) : (x<800 ? (x<670 ? 1.16438:1.15386) : (x<1000 ? 1.10054:0)))" 
1, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03504) : (1.052)) : (x<50 ? 1.07476:1.08544)) : (x<100 ? (x<80 ? (x<70 ? 1.09777:1.10967) : (1.11347)) : (x<120 ? 1.13468:1.14625))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.16257:1.22115) : (1.38926)) : (x<400 ? 1.50587:1.7374)) : (x<800 ? (x<670 ? 1.75852:1.75575) : (x<1000 ? 1.79084:0)))" 
1, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.971299) : (0.980994)) : (x<50 ? 0.980671:0.983354)) : (x<100 ? (x<80 ? (x<70 ? 0.987868:0.987264) : (0.986308)) : (x<120 ? 0.991589:0.992254))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.991678:0.990886) : (0.994634)) : (x<400 ? 0.996568:1.03288)) : (x<800 ? (x<670 ? 1.03303:1.01789) : (x<1000 ? 0.916083:0)))" 
1, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.0644) : (1.09284)) : (x<50 ? 1.10339:1.11631)) : (x<100 ? (x<80 ? (x<70 ? 1.12056:1.13465) : (1.14246)) : (x<120 ? 1.16663:1.19551))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.23903:1.2581) : (1.24783)) : (x<400 ? 1.21733:1.16329)) : (x<800 ? (x<670 ? 1.13414:1.08767) : (x<1000 ? 1.0119:0)))" 
1, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.04053) : (1.05817)) : (x<50 ? 1.08033:1.09123)) : (x<100 ? (x<80 ? (x<70 ? 1.10411:1.1168) : (1.12058)) : (x<120 ? 1.14202:1.15258))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.17743:1.25786) : (1.41579)) : (x<400 ? 1.54597:1.80989)) : (x<800 ? (x<670 ? 1.83682:1.89697) : (x<1000 ? 1.96915:0)))" 
1, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.977058) : (0.986328)) : (x<50 ? 0.987456:0.992734)) : (x<100 ? (x<80 ? (x<70 ? 0.994534:0.998612) : (0.995194)) : (x<120 ? 1.00114:1.00292))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.00751:1.00922) : (1.0213)) : (x<400 ? 1.03032:1.07507)) : (x<800 ? (x<670 ? 1.09552:1.15215) : (x<1000 ? 1.09264:0)))" 
1, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.07008) : (1.09793)) : (x<50 ? 1.11004:1.12228)) : (x<100 ? (x<80 ? (x<70 ? 1.13114:1.14377) : (1.14979)) : (x<120 ? 1.17503:1.20656))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.2527:1.28209) : (1.28046)) : (x<400 ? 1.25887:1.21198)) : (x<800 ? (x<670 ? 1.19462:1.22005) : (x<1000 ? 1.18919:0)))" 
2, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.954599) : (0.985881)) : (x<50 ? 1.013:1.03146)) : (x<100 ? (x<80 ? (x<70 ? 1.04267:1.04974) : (1.05639)) : (x<120 ? 1.07321:1.07689))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.09472:1.12342) : (1.25635)) : (x<400 ? 1.40347:1.60891)) : (x<800 ? (x<670 ? 1.64838:1.91688) : (x<1000 ? 1.47825:0)))" 
2, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.88334) : (0.896084)) : (x<50 ? 0.906256:0.906621)) : (x<100 ? (x<80 ? (x<70 ? 0.904143:0.901006) : (0.90419)) : (x<120 ? 0.902633:0.890942))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.834293:0.809535) : (0.799633)) : (x<400 ? 0.826934:0.804838)) : (x<800 ? (x<670 ? 0.756047:0.618626) : (x<1000 ? 0.645793:0)))" 
2, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.07026) : (1.11585)) : (x<50 ? 1.12507:1.12087)) : (x<100 ? (x<80 ? (x<70 ? 1.1496:1.12819) : (1.13076)) : (x<120 ? 1.17021:1.20569))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.16293:1.30821) : (1.66786)) : (x<400 ? 1.81713:1.54062)) : (x<800 ? (x<670 ? 1.7415:0) : (x<1000 ? 0:0)))" 
2, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.950391) : (0.982062)) : (x<50 ? 1.00912:1.02811)) : (x<100 ? (x<80 ? (x<70 ? 1.03907:1.04464) : (1.05243)) : (x<120 ? 1.0676:1.07252))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.08773:1.08912) : (1.23554)) : (x<400 ? 1.37027:1.55093)) : (x<800 ? (x<670 ? 1.57123:1.7505) : (x<1000 ? 1.31943:0)))" 
2, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.87948) : (0.892403)) : (x<50 ? 0.90124:0.900958)) : (x<100 ? (x<80 ? (x<70 ? 0.899698:0.891632) : (0.899788)) : (x<120 ? 0.896989:0.885138))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.814818:0.793957) : (0.773484)) : (x<400 ? 0.79423:0.766038)) : (x<800 ? (x<670 ? 0.70125:0.513003) : (x<1000 ? 0.454826:0)))" 
2, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.06009) : (1.10537)) : (x<50 ? 1.11293:1.10743)) : (x<100 ? (x<80 ? (x<70 ? 1.13337:1.10968) : (1.11375)) : (x<120 ? 1.14527:1.17582))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.11342:1.19404) : (1.4022)) : (x<400 ? 1.377:1.04705)) : (x<800 ? (x<670 ? 0.918434:0) : (x<1000 ? 0:0)))" 
2, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.958806) : (0.9897)) : (x<50 ? 1.01688:1.03481)) : (x<100 ? (x<80 ? (x<70 ? 1.04627:1.05483) : (1.06034)) : (x<120 ? 1.07883:1.08127))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.10172:1.15772) : (1.27716)) : (x<400 ? 1.43667:1.6669)) : (x<800 ? (x<670 ? 1.72554:2.08326) : (x<1000 ? 1.63706:0)))" 
2, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.887201) : (0.899766)) : (x<50 ? 0.911272:0.912284)) : (x<100 ? (x<80 ? (x<70 ? 0.908587:0.910379) : (0.908592)) : (x<120 ? 0.908277:0.896747))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.853768:0.825113) : (0.825781)) : (x<400 ? 0.859637:0.843639)) : (x<800 ? (x<670 ? 0.810843:0.724249) : (x<1000 ? 0.83676:0)))" 
2, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.08044) : (1.12632)) : (x<50 ? 1.13721:1.13431)) : (x<100 ? (x<80 ? (x<70 ? 1.16583:1.1467) : (1.14776)) : (x<120 ? 1.19515:1.23556))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.21244:1.42237) : (1.93351)) : (x<400 ? 2.25726:2.03419)) : (x<800 ? (x<670 ? 2.56457:0) : (x<1000 ? 0:0)))" 
