deepcsvCvsctag;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03396) : (1.04643)) : (x<50 ? 1.06536:1.07796)) : (x<100 ? (x<80 ? (x<70 ? 1.08747:1.1022) : (1.1044)) : (x<120 ? 1.11901:1.1236))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.12946:1.19139) : (1.31549)) : (x<400 ? 1.49133:1.7071)) : (x<800 ? (x<670 ? 1.83461:1.93152) : (x<1000 ? 2.13256:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.977171) : (0.983206)) : (x<50 ? 0.988017:0.990198)) : (x<100 ? (x<80 ? (x<70 ? 0.990846:0.991111) : (0.991285)) : (x<120 ? 0.992572:0.993002))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.998879:1.00889) : (1.02616)) : (x<400 ? 1.02826:1.02753)) : (x<800 ? (x<670 ? 1.04378:1.04213) : (x<1000 ? 1.10104:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.953564) : (0.962332)) : (x<50 ? 0.968453:0.972274)) : (x<100 ? (x<80 ? (x<70 ? 0.973649:0.97426) : (0.975331)) : (x<120 ? 0.974193:0.973794))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.974987:0.970754) : (0.976687)) : (x<400 ? 0.966173:0.957484)) : (x<800 ? (x<670 ? 0.944827:0.932045) : (x<1000 ? 0.908494:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03124) : (1.04333)) : (x<50 ? 1.06237:1.07534)) : (x<100 ? (x<80 ? (x<70 ? 1.08405:1.0987) : (1.10072)) : (x<120 ? 1.11539:1.1205))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.12239:1.17431) : (1.30321)) : (x<400 ? 1.4718:1.66928)) : (x<800 ? (x<670 ? 1.79183:1.83574) : (x<1000 ? 2.01859:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.974849) : (0.980939)) : (x<50 ? 0.985408:0.986723)) : (x<100 ? (x<80 ? (x<70 ? 0.988003:0.986367) : (0.987881)) : (x<120 ? 0.988524:0.988707))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.992994:1.00127) : (1.01508)) : (x<400 ? 1.01374:1.01009)) : (x<800 ? (x<670 ? 1.01906:0.988206) : (x<1000 ? 1.01961:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.952283) : (0.960938)) : (x<50 ? 0.966984:0.970668)) : (x<100 ? (x<80 ? (x<70 ? 0.971482:0.972221) : (0.973717)) : (x<120 ? 0.972089:0.971693))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.972046:0.965557) : (0.969695)) : (x<400 ? 0.958539:0.947388)) : (x<800 ? (x<670 ? 0.931523:0.904867) : (x<1000 ? 0.871026:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03668) : (1.04952)) : (x<50 ? 1.06836:1.08058)) : (x<100 ? (x<80 ? (x<70 ? 1.09089:1.10571) : (1.10808)) : (x<120 ? 1.12263:1.1267))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.13654:1.20847) : (1.32778)) : (x<400 ? 1.51086:1.74491)) : (x<800 ? (x<670 ? 1.87738:2.0273) : (x<1000 ? 2.24653:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.979493) : (0.985473)) : (x<50 ? 0.990626:0.993673)) : (x<100 ? (x<80 ? (x<70 ? 0.993689:0.995856) : (0.994689)) : (x<120 ? 0.99662:0.997297))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.00476:1.0165) : (1.03724)) : (x<400 ? 1.04278:1.04497)) : (x<800 ? (x<670 ? 1.0685:1.09605) : (x<1000 ? 1.18246:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.954846) : (0.963726)) : (x<50 ? 0.969922:0.97388)) : (x<100 ? (x<80 ? (x<70 ? 0.975815:0.976299) : (0.976945)) : (x<120 ? 0.976297:0.975895))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.977928:0.975951) : (0.98368)) : (x<400 ? 0.973807:0.967581)) : (x<800 ? (x<670 ? 0.958131:0.959223) : (x<1000 ? 0.945961:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.04519) : (1.05994)) : (x<50 ? 1.08077:1.09156)) : (x<100 ? (x<80 ? (x<70 ? 1.10399:1.11744) : (1.12092)) : (x<120 ? 1.13673:1.13732))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.14508:1.1901) : (1.32731)) : (x<400 ? 1.50313:1.71549)) : (x<800 ? (x<670 ? 1.82934:1.89722) : (x<1000 ? 1.95557:0)))" 
1, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.984648) : (0.992802)) : (x<50 ? 0.996911:0.997371)) : (x<100 ? (x<80 ? (x<70 ? 0.998608:1.00293) : (1.00243)) : (x<120 ? 1.0079:1.00552))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.01565:1.02267) : (1.03863)) : (x<400 ? 1.03329:1.04742)) : (x<800 ? (x<670 ? 1.06484:1.08032) : (x<1000 ? 1.10724:0)))" 
1, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.996152) : (1.02144)) : (x<50 ? 1.0413:1.05808)) : (x<100 ? (x<80 ? (x<70 ? 1.06898:1.0818) : (1.09573)) : (x<120 ? 1.11941:1.15509))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.19401:1.23339) : (1.23052)) : (x<400 ? 1.24015:1.24317)) : (x<800 ? (x<670 ? 1.25154:1.23472) : (x<1000 ? 1.34071:0)))" 
1, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.04262) : (1.05713)) : (x<50 ? 1.07815:1.08886)) : (x<100 ? (x<80 ? (x<70 ? 1.10109:1.1138) : (1.11725)) : (x<120 ? 1.13299:1.13416))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.13891:1.17296) : (1.31487)) : (x<400 ? 1.48348:1.67781)) : (x<800 ? (x<670 ? 1.78719:1.80693) : (x<1000 ? 1.857:0)))" 
1, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.981863) : (0.990329)) : (x<50 ? 0.994018:0.993271)) : (x<100 ? (x<80 ? (x<70 ? 0.995512:0.997892) : (0.99868)) : (x<120 ? 1.00357:1.00048))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.00875:1.0142) : (1.02643)) : (x<400 ? 1.01723:1.02831)) : (x<800 ? (x<670 ? 1.03781:1.02043) : (x<1000 ? 1.02041:0)))" 
1, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.994473) : (1.0195)) : (x<50 ? 1.03919:1.0558)) : (x<100 ? (x<80 ? (x<70 ? 1.06559:1.07825) : (1.0931)) : (x<120 ? 1.11628:1.15178))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.1889:1.22494) : (1.20829)) : (x<400 ? 1.22557:1.22499)) : (x<800 ? (x<670 ? 1.22662:1.18462) : (x<1000 ? 1.26139:0)))" 
1, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.04776) : (1.06275)) : (x<50 ? 1.0834:1.09425)) : (x<100 ? (x<80 ? (x<70 ? 1.10688:1.12107) : (1.12458)) : (x<120 ? 1.14047:1.14048))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.15124:1.20723) : (1.33975)) : (x<400 ? 1.52279:1.75317)) : (x<800 ? (x<670 ? 1.8715:1.98751) : (x<1000 ? 2.05413:0)))" 
1, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.987433) : (0.995276)) : (x<50 ? 0.999803:1.00147)) : (x<100 ? (x<80 ? (x<70 ? 1.0017:1.00797) : (1.00619)) : (x<120 ? 1.01224:1.01055))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.02255:1.03115) : (1.05084)) : (x<400 ? 1.04935:1.06652)) : (x<800 ? (x<670 ? 1.09188:1.14021) : (x<1000 ? 1.19406:0)))" 
1, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.997831) : (1.02338)) : (x<50 ? 1.04342:1.06036)) : (x<100 ? (x<80 ? (x<70 ? 1.07237:1.08535) : (1.09837)) : (x<120 ? 1.12253:1.15841))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.19912:1.24185) : (1.25276)) : (x<400 ? 1.25473:1.26135)) : (x<800 ? (x<670 ? 1.27647:1.28483) : (x<1000 ? 1.42003:0)))" 
2, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.949346) : (0.978984)) : (x<50 ? 1.00123:1.00847)) : (x<100 ? (x<80 ? (x<70 ? 1.01414:1.02331) : (1.0296)) : (x<120 ? 1.03338:1.03422))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.05214:1.08513) : (1.19582)) : (x<400 ? 1.35003:1.32497)) : (x<800 ? (x<670 ? 1.50659:1.44298) : (x<1000 ? 1.47454:0)))" 
2, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.882373) : (0.897496)) : (x<50 ? 0.899084:0.899501)) : (x<100 ? (x<80 ? (x<70 ? 0.902891:0.893175) : (0.896494)) : (x<120 ? 0.892608:0.883117))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.862771:0.84066) : (0.801525)) : (x<400 ? 0.787099:0.761318)) : (x<800 ? (x<670 ? 0.716769:0.725886) : (x<1000 ? 0.563437:0)))" 
2, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01059) : (1.06686)) : (x<50 ? 1.08427:1.11211)) : (x<100 ? (x<80 ? (x<70 ? 1.14163:1.16617) : (1.14749)) : (x<120 ? 1.17253:1.23484))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.27163:1.32832) : (1.36453)) : (x<400 ? 1.33947:1.62183)) : (x<800 ? (x<670 ? 1.05239:1.61079) : (x<1000 ? 0.751445:0)))" 
2, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.945958) : (0.976084)) : (x<50 ? 0.998294:1.00549)) : (x<100 ? (x<80 ? (x<70 ? 1.01095:1.01934) : (1.02637)) : (x<120 ? 1.02976:1.03114))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.04744:1.07042) : (1.18304)) : (x<400 ? 1.3295:1.18024)) : (x<800 ? (x<670 ? 1.45955:1.35752) : (x<1000 ? 1.3592:0)))" 
2, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.879155) : (0.894408)) : (x<50 ? 0.895257:0.894698)) : (x<100 ? (x<80 ? (x<70 ? 0.899275:0.885565) : (0.892353)) : (x<120 ? 0.888251:0.877632))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.853076:0.831104) : (0.786976)) : (x<400 ? 0.767605:0.738546)) : (x<800 ? (x<670 ? 0.685653:0.648806) : (x<1000 ? 0.473705:0)))" 
2, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.00327) : (1.05925)) : (x<50 ? 1.07554:1.10217)) : (x<100 ? (x<80 ? (x<70 ? 1.13016:1.15287) : (1.13574)) : (x<120 ? 1.1569:1.21708))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.24302:1.27492) : (1.28195)) : (x<400 ? 1.22621:1.41305)) : (x<800 ? (x<670 ? 0.898537:0.914015) : (x<1000 ? 0.407745:0)))" 
2, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.952735) : (0.981885)) : (x<50 ? 1.00416:1.01146)) : (x<100 ? (x<80 ? (x<70 ? 1.01733:1.02729) : (1.03284)) : (x<120 ? 1.03701:1.0373))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.05685:1.09985) : (1.2086)) : (x<400 ? 1.37056:1.46971)) : (x<800 ? (x<670 ? 1.55362:1.52845) : (x<1000 ? 1.58989:0)))" 
2, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.885591) : (0.900584)) : (x<50 ? 0.90291:0.904304)) : (x<100 ? (x<80 ? (x<70 ? 0.906506:0.900784) : (0.900635)) : (x<120 ? 0.896965:0.888601))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.872465:0.850215) : (0.816075)) : (x<400 ? 0.806594:0.78409)) : (x<800 ? (x<670 ? 0.747885:0.802965) : (x<1000 ? 0.653169:0)))" 
2, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01791) : (1.07448)) : (x<50 ? 1.093:1.12206)) : (x<100 ? (x<80 ? (x<70 ? 1.15311:1.17947) : (1.15924)) : (x<120 ? 1.18817:1.25261))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.30024:1.38173) : (1.44712)) : (x<400 ? 1.45272:1.83061)) : (x<800 ? (x<670 ? 1.20625:2.30756) : (x<1000 ? 1.09515:0)))" 
